Course,Type,Title,Syl,Cr,Instructor,Cur,Lim,Days,Rm,From,To
0899LAW-899-006,,Extshp Component,,1,,14,,,,0,0
0899LAW-899-007,,Extshp Component,,1,,8,,,,0,0
0899LAW-899-008,,Extshp Component,,1,,,,,,0,0
0899LAW-899-009,,Extshp Component,,1,,11,,,,0,0
0899LAW-899-010,,Extshp Component,,1,,9,,,,0,0
0899LAW-899-015,,Legislative Practice Externship,,1/3/2013,"Yeomans, Flug, Goodstein",1,12,,,0,0
0917LAW-917A-001,,Business Law Review I,,1,,2,,,,0,0
0917LAW-917B-001,,Business Law Review,,2,,15,,,,0,0
0918LAW-918A-001,,Business Law Review II,,1,,3,,,,0,0
0918LAW-918B-001,,Business Law Review II,,2,,4,,,,0,0
0919LAW-919A-001,,Business Law Review III,,1,,,,,,0,0
0919LAW-919B-001,,Business Law Review III,,2,,5,,,,0,0
0919LAW-919C-001,,Business Law Review III,,3,,4,,,,0,0
0919LAW-919D-001,,Business Law Review III,,4,,4,,,,0,0
0927LAW-927-001,,Int'l Trafficking in Persons,x,3,Chuang,39,45,MW,503,100010:00AM,112011:20AM
0929LAW-929-001,@,"Adv Lgl Rsrch 
This course has a Wait List",x,2,Postar,18,18,M,103,160004:00PM,175005:50PM
0933LAW-933-001,,Civ Rghts and Remedies,x,3,M. Gross,15,35,T,500,183006:30PM,211009:10PM
0959LAW-959-001,,Busnss Transac in Latin Ame,x,2,Figueroa Hernand,5,22,TH,314,160004:00PM,175005:50PM
0962LAW-962A-001,,IP Licensing and Technology Transactions,x,3,Contreras,23,25,MW,103,180006:00PM,192007:20PM
0963LAW-963-001,,Intl & Compar Patent Law,x,2,"Santamauro, Keating",15,18,TH,627,193007:30PM,212009:20PM
0967LAW-967-001,,Immgr Iss: Famly&Emplymnt,x,2,Lawrence,14,22,TH,527,150003:00PM,165004:50PM
0968LAW-968-002,,"Evidentiary Founda & Objctns (prereqs under Notices on course page) 
This course has a Wait List",x,3,"Boals, Lippy",13,12,M,528,133001:30PM,161004:10PM
0972LAW-972-001,,BIT Arbitration,,2,"Alexandrov, Carlson",22,25,T,100,200008:00PM,215009:50PM
0973LAW-973-001,,Intl Sales,x,3,Snyder,9,14,MW,527,133001:30PM,145002:50PM
0978LAW-978-001,,Women & Conflict,,2,SaCouto,9,16,M,314,150003:00PM,165004:50PM
0979LAW-979-001,,Wmn's Lgl Hist,x,3,Clark,11,20,T,504,090009:00AM,235011:50PM
0980LAW-980-001,,Adv Int Law:Law&Pce Negot,,3,P. Williams,40,45,T,601,150003:00PM,175005:50PM
0982LAW-982-001,,Appl of Intl Arb Fundamntls,,3,"M. Jaffe, McKay",5,22,TH,415,193007:30PM,221010:10PM
0984LAW-984A-001,,Adv Trial Ad:Obligations of Prosecutors,x,2,"Acosta, Wennar",16,18,M,500,190007:00PM,205008:50PM
0988LAW-988-001,,Drafting Wills and Trusts,,2,Abravanel,9,12,TH,516,150003:00PM,165004:50PM
0989LAW-989-001,@,"Intl Protec of Vulnerable Grp 
This course has a Wait List",x,2,Nifosi-Sutton,18,18,TH,627,110011:00AM,125012:50PM
0990LAW-990-001,@,"Intl Busnss Negotiations 
This course has a Wait List",x,3,Frankel,10,12,M,415,160004:00PM,175005:50PM
0993LAW-993-001,,"Adoption Law, Policy&Practice",x,3,Maskew,17,20,M,516,183006:30PM,211009:10PM
0994LAW-994-001,@,"eDiscovery 
This course has a Wait List",x,2,"Austrian, Racich",11,12,W,314,180006:00PM,195007:50PM
0995LAW-995A-001,,Mock Trial Competition,,1,,13,,,,0,0
0995LAW-995C-001,,Mock Trial Competition,,1,,3,,,,0,0
0995LAW-995G-001,,Mock Trial Competition,,2,,6,,,,0,0
0996LAW-996A-001,,Mock Trial Exec Bd,,1,,2,,,,0,0
0996LAW-996C-001,,Mock Trial Exec Bd,,1,,1,,,,0,0
0997LAW-997-001,,Strategic Litigation Intl Hmn Rghts Law,x,2,Saez,8,22,TH,415,163004:30PM,182006:20PM
0999LAW-999-001,,SJD Colloquium,x,2,Tenney,5,10,,,0,0
